ﴋ Arabic Ligature Sheen With Khah Isolated Form
ﮁ Arabic Letter Tcheheh Medial Form
ﲸ Arabic Ligature Tah With Hah Initial Form
ﴌ Arabic Ligature Sheen With Meem Isolated Form
ﮂ Arabic Letter Ddahal Isolated Form
ﲹ Arabic Ligature Zah With Meem Initial Form
ﴍ Arabic Ligature Sheen With Reh Isolated Form
ﮃ Arabic Letter Ddahal Final Form
ﲺ Arabic Ligature Ain With Jeem Initial Form
ﴎ Arabic Ligature Seen With Reh Isolated Form
ﰽ Arabic Ligature Kaf With Alef Maksura Isolated Form
ﰾ Arabic Ligature Kaf With Yeh Isolated Form
ﰿ Arabic Ligature Lam With Jeem Isolated Form
ﱀ Arabic Ligature Lam With Hah Isolated Form
ﱁ Arabic Ligature Lam With Khah Isolated Form
ﱂ Arabic Ligature Lam With Meem Isolated Form
ﱃ Arabic Ligature Lam With Alef Maksura Isolated Form
ﱄ Arabic Ligature Lam With Yeh Isolated Form
ﱅ Arabic Ligature Meem With Jeem Isolated Form
ﱆ Arabic Ligature Meem With Hah Isolated Form
ﱇ Arabic Ligature Meem With Khah Isolated Form
ﱈ Arabic Ligature Meem With Meem Isolated Form
ﱉ Arabic Ligature Meem With Alef Maksura Isolated Form
ﱊ Arabic Ligature Meem With Yeh Isolated Form
ﱋ Arabic Ligature Noon With Jeem Isolated Form
ﱌ Arabic Ligature Noon With Hah Isolated Form
ﱍ Arabic Ligature Noon With Khah Isolated Form
ﱎ Arabic Ligature Noon With Meem Isolated Form
ﱏ Arabic Ligature Noon With Alef Maksura Isolated Form
ﱐ Arabic Ligature Noon With Yeh Isolated Form
ﱑ Arabic Ligature Heh With Jeem Isolated Form
ﱒ Arabic Ligature Heh With Meem Isolated Form
ﱓ Arabic Ligature Heh With Alef Maksura Isolated Form
ﱔ Arabic Ligature Heh With Yeh Isolated Form
ﱕ Arabic Ligature Yeh With Jeem Isolated Form
ﱖ Arabic Ligature Yeh With Hah Isolated Form
ﱗ Arabic Ligature Yeh With Khah Isolated Form
ﱘ Arabic Ligature Yeh With Meem Isolated Form
ﱙ Arabic Ligature Yeh With Alef Maksura Isolated Form
ﱚ Arabic Ligature Yeh With Yeh Isolated Form
ﱛ Arabic Ligature Thal With Superscript Alef Isolated Form
ﱜ Arabic Ligature Reh With Superscript Alef Isolated Form
ﱝ Arabic Ligature Alef Maksura With Superscript Alef Isolated Form
ﱞ Arabic Ligature Shadda With Dammatan Isolated Form
ﱟ Arabic Ligature Shadda With Kasratan Isolated Form
ﱠ Arabic Ligature Shadda With Fatha Isolated Form
ﱡ Arabic Ligature Shadda With Damma Isolated Form
ﱢ Arabic Ligature Shadda With Kasra Isolated Form
ﱣ Arabic Ligature Shadda With Superscript Alef Isolated Form
ﱤ Arabic Ligature Yeh With Hamza Above With Reh Final Form
ﱥ Arabic Ligature Yeh With Hamza Above With Zain Final Form
