忠 Trung
忤 Ngỗ
快 Khoái
忱 Thầm
念 Niệm
忽 Hốt
忿 Phẫn
怍 Tạc
怎 Chẩn
怑 Bẳn
怒 Nộ
怖 Bố
怛 Đắn
怜 Lanh
思 Tư
急 Cấp
怦 Bừng
性 Tính
怨 Oán
怩 Náy
怫 Phật
怯 Khiếp
怲 Biếng
怳 Hoảng
怵 Truột
恄 Ghét
恅 Làu
恋 Luyến
恍 Hoảng
恐 Khủng
恑 Nguây
恕 Thứ
恜 Thức
恟 Hung
恨 Hận
恩 Ân
恪 Khác
恬 Điềm
恭 Cung
息 Tức
悁 Quyên
悅 Dột
悇 Dơ
悉 Tạt
悋 Lẫn
悌 Đễ
悍 Hãn
悑 Bỏ
悔 Hối
悗 Mến
悛 Thoăn
悜 Chường
患 Hoạn
悧 Rượi
悲 Bi
悴 Xót
悶 Muốn
悼 Điệu
悽 Thê
惀 Luẩn
情 Tình
惇 Run
惊 Kinh
惍 Căm
惏 Lầm
惑 Hoặc
惕 Thích
惚 Hốt
惛 Hôn
惜 Tiếc
惝 Sượng
惠 Huệ
惡 Ác
惦 Điếm
惱 Não
想 Tưởng
惴 Nhoai
惶 Hoàng
惷 Xuẩn
惼 Bẽn
愀 Xỉu
愁 Sầu
愆 Khiền
愈 Rủ
愊 Bực
愍 Mẫn
意 Ý
愐 Giợn
愕 Ngạc
愚 Ngu
感 Cảm
愿 Nguyện
慃 Õng
慄 Lật
慇 Ân
慈 Từ
態 Thái
慌 Hoảng
慎 Thận
慕 Mộ
慘 Thảm
慚 Tuồm
慛 Thôi
慟 Đỏng
慢 Mạn
慣 Quen
慤 Xác
慨 Khái
慫 Túng
慬 Cỡn
慮 Lự
慰 Uý
慳 Ghen
慴 Tiệp Điệp
慵 Thuồng
慶 Khánh
慷 Khảng
慼 Thích
慾 Dục
憂 Ưu
憑 Bằng
憔 Tiều
憚 Dạn
憤 Phẫn
憨 Hám
憫 Mẫn
憭 Trêu
憲 Hiến
憶 Ức
憾 Hám
懃 Cần
懇 Khấn
應 Ứng
懊 Ảo
懓 Áy
懞 Mong
懢 Nhàm
懦 Nhụa
懧 Nạnh
懲 Trừng
懷 Hoài
懺 Sám
戀 Luyến
戈 Qua
戊 Mậu
戌 Tuất
戍 Thú
戎 Nhung
成 Thành
我 Ngã
戒 Giới
或 Hoặc
戚 Thích
戛 Giát
戟 Kích
截 Tiệt
戰 Chiến
戲 Hí
户 Hộ
戾 Lệ
房 Phòng
所 Sỡ
扁 Biển
扇 Phiến
手 Thủ
才 Tài
扎 Trát
扑 Bốc
扒 Bắt
打 Đả
扔 Nẫy
払 Chàng
扗 Nhổ
托 Thác Thách Thốc Thước Thướt
扙 Rượn
扛 Giăng
扜 Vo
扠 Xoa
扢 Ngắt
扣 Khấu
扦 Xiên
扨 Nhấn
扯 Chải
扱 Gắp
扲 Cầm
扳 Bẳn
扶 Phù
批 Phê
扺 Chỉ
扼 Ách
扽 Đùn
找 Quơ
承 Thừa
技 Kĩ
抃 Bện
抄 Sao
抆 Vặn
抇 Nhặt
抈 Ngoắt
抉 Khoét
把 Bã
抑 Ức
抒 Trữ
抓 Co
抔 Bồi
投 Đầu
抗 Kháng
折 Chiết
抛 Phao
抨 Banh
抩 Nhóm
抪 Bó
披 Phơ
抯 Vả
抱 Bão
抳 Nai
抶 Thắt
抷 Phơ
抸 Bẹp
抺 Vầy
押 Áp
抽 Trừu
抾 Khứa
拁 Giơ
拂 Phất
拄 Chủ
担 Đam Đảm Đẵn Đắn Đẵm Tạ
拆 Sách
拈 Chêm
拉 Lấp
拌 Bắn
拍 Phếch
拐 Quảy Quái Quải Quầy
拑 Kiềm Cùm
拒 Cự
拔 Bạt
拖 Đà
拗 Húc
拘 Câu
拙 Chút
招 Chiêu
拜 Bái
拞 Khêu Khua
拥 Dùng
拪 Tay
拫 Gắn
括 Quát
拭 Rị
拮 Cất
拯 Chửng
拰 Nhúm
拱 Cõng
拳 Quyền
